query,category,is_pass,output
Gated Recurrent Unit,expansion,True,"Gated Recurrent Unit (GRU, gated recurrent neural network, gated RNN, recurrent gating mechanism, simplified LSTM)"
Natural Language Processing,expansion,True,"Natural Language Processing (NLP, computational linguistics, language understanding, text mining, language modeling)"
Computer Vision,expansion,True,"Computer Vision (CV, visual recognition, image understanding, visual perception, pattern recognition)"
Reinforcement Learning,expansion,True,"Reinforcement Learning (RL, deep reinforcement learning, policy gradient methods, value-based methods, actor-critic methods)"
few-shot learning,expansion,False,"few-shot learning (few-shot classification, meta-learning, low-shot learning, N-shot learning, in-context learning)"
zero-shot learning,expansion,False,"zero-shot learning (zero-shot classification, zero-shot generalization, zero-shot transfer, zero-shot recognition, zero-shot inference)"
multimodal learning,expansion,False,"multimodal learning (multimodal representation learning, multimodal fusion, vision-language learning, cross-modal learning, multimodal deep learning)"
Microsoft,expansion,True,"Microsoft (Microsoft Research, MSR, Azure AI, Bing AI, Copilot, OpenAI partnership)"
RAG是什么,parent,False,"检索增强生成（Retrieval-Augmented Generation, RAG）在大语言模型中的基本原理、体系结构（检索模块与生成模块的协同）、典型实现方式以及其在提高问答准确性和减少幻觉方面的应用与效果研究综述"
怎么微调LLM,parent,False,大型语言模型（LLM）的高效微调方法与实践，包括全参数微调、LoRA/QLoRA 等参数高效微调（PEFT）技术、指令微调（instruction tuning）、对齐（alignment）与RLHF流程，以及在有限算力和小数据集场景下的工程实现与最佳实践综述。
transformer结构,parent,False,深度学习中Transformer结构的原理与架构，包括自注意力机制（self-attention）、多头注意力（multi-head attention）、位置编码（positional encoding）、编码器-解码器结构以及其在自然语言处理任务中的应用与改进模型综述
BERT和GPT区别,parent,False,比较BERT与GPT两类预训练语言模型的架构差异（如编码器 vs 解码器、双向 vs 单向注意力）、预训练目标（Masked Language Modeling vs Autoregressive Language Modeling）、下游任务适用场景（理解类任务 vs 生成类任务）以及在NLP基准数据集上的性能与应用差异的研究综述
注意力机制,parent,False,深度学习中的注意力机制（包括自注意力、软/硬注意力、多头注意力等）的原理、数学形式化、典型模型结构（如Transformer）、在自然语言处理和计算机视觉中的应用及其与传统序列建模方法（如RNN、LSTM）的比较研究
对比学习,parent,False,对比学习（contrastive learning）在自监督表示学习中的方法与应用综述，包括InfoNCE等典型损失函数、SimCLR、MoCo、BYOL、SimSiam等代表性模型及其在计算机视觉和自然语言处理任务中的性能与优缺点比较。
扩散模型,parent,False,扩散模型（diffusion models）在生成式模型中的原理、训练方法及其在图像生成任务中的最新进展与应用综述，包括DDPM、DDIM、Score-based models等代表性方法的比较研究
提示工程,parent,False,大型语言模型中的提示工程（prompt engineering）方法与原理，包括提示设计模式、少样本与零样本提示、思维链（Chain-of-Thought）提示、系统提示与角色设定、以及其对模型性能和可控性的影响与评估方法的系统研究综述
模型蒸馏,parent,False,深度学习中模型蒸馏（knowledge distillation）的方法与理论，包括教师-学生网络框架、软标签与温度参数的作用、蒸馏损失设计（如KL散度、特征蒸馏）、以及其在模型压缩与小模型性能提升中的应用与最新研究进展综述。
量化,parent,False,量化投资与量化交易的核心方法与模型，包括因子模型、统计套利、高频交易、机器学习在量化策略中的应用，以及在中国A股和全球市场中的实证研究综述
稀疏注意力,parent,False,稀疏注意力机制在深度学习中的方法与应用综述，包括Transformer中稀疏自注意力的设计（如局部注意力、块稀疏、Top-k注意力、基于哈希或路由的稀疏注意力）及其在长序列建模中的计算复杂度降低与性能权衡研究
位置编码,parent,False,Transformer 模型中的位置编码（positional encoding）方法及其改进，包括绝对位置编码、相对位置编码、旋转位置编码（RoPE）等在自然语言处理和视觉任务中的原理、实现方式及对模型性能影响的系统研究综述
分词器,parent,False,中文自然语言处理中的分词器技术与方法，包括基于规则、统计学习和深度学习（如BiLSTM-CRF、Transformer、BERT等）实现的中文分词算法、评测指标以及在信息检索和文本挖掘中的应用研究综述
参数高效微调,parent,False,"参数高效微调（parameter-efficient fine-tuning, PEFT）方法在大规模预训练语言模型上的技术综述与比较研究，包括LoRA、Prefix Tuning、Adapter Tuning、P-Tuning等代表性方法的原理、参数效率、性能表现以及在低资源和多任务场景中的应用与优缺点分析。"
幻觉问题,parent,False,大规模语言模型（LLM）中的“幻觉”问题：其成因机制（如训练数据偏差、概率生成特性、对事实性约束不足）、典型表现形式、定量评估方法以及减少或缓解幻觉的技术手段（如检索增强生成、事实校验、对齐训练、提示工程等）研究综述
比较CNN和ViT的优缺点,decomposition,True,卷积神经网络（CNN）在图像处理和视觉任务中的主要优点和缺点分别是什么？|视觉Transformer（ViT）在图像处理和视觉任务中的主要优点和缺点分别是什么？|在相同或相似视觉任务场景下，CNN与ViT在性能、计算开销、数据需求和可解释性等方面有哪些对比结论？
RAG的检索器和生成器如何协同,decomposition,True,在RAG（Retrieval-Augmented Generation）框架中，检索器的核心职责、常用实现方式（如BM25、向量检索、混合检索）以及其输出形式分别是什么？|在RAG框架中，生成器（如大语言模型）的输入结构、对检索结果的利用方式以及生成过程中的条件控制机制是怎样的？|有哪些典型的RAG系统架构或工作流程详细描述了检索器与生成器之间的数据流、接口设计和协同策略（如top-k选择、重排序、迭代检索-生成）？|在实际应用中，为提升RAG系统整体效果，检索器与生成器协同优化的常见方法有哪些（如联合调参、反馈学习、端到端训练或对比学习）？
训练GPT-3需要多少数据和多长时间,decomposition,False,EMPTY_RESULT
BERT的预训练任务是什么？如何微调？,decomposition,True,BERT 模型在预训练阶段使用了哪些具体的预训练任务（如 MLM、NSP 等），这些任务的设计目的和机制是什么？|在下游任务中如何对 BERT 进行微调？包括输入格式、模型结构调整（如添加分类层）、训练超参数和典型微调流程。
LoRA和Prefix-tuning在效果和效率上有什么区别,decomposition,True,分别综述LoRA（Low-Rank Adaptation）在大语言模型或预训练模型上的微调效果（如下游任务性能、泛化能力等），并总结其典型实验结果|分别综述Prefix-tuning在大语言模型或预训练模型上的微调效果（如下游任务性能、泛化能力等），并总结其典型实验结果|比较LoRA与Prefix-tuning在计算效率和资源开销方面的差异，包括训练/推理时间、显存占用、可训练参数量以及部署成本等|综合已有对比实验或综述性工作，分析LoRA与Prefix-tuning在效果与效率上的整体权衡与适用场景差异
Transformer的编码器和解码器各有什么作用,decomposition,False,EMPTY_RESULT
如何评估生成模型的性能？常用的指标有哪些？,decomposition,True,有哪些用于评估生成模型（如文本生成、图像生成等）性能的一般方法和思路？|评估生成模型性能时，常用的定量指标有哪些？请分别说明其含义和适用场景。|在自然语言生成任务中，常用的评价指标（如BLEU、ROUGE、METEOR、BERTScore等）有哪些及其优缺点？|在图像生成任务中，常用的评价指标（如FID、IS、Precision & Recall for GANs等）有哪些及其优缺点？
解释梯度消失和梯度爆炸，以及解决方案,decomposition,True,什么是神经网络中的梯度消失现象？它产生的原因和典型表现是什么？|什么是神经网络中的梯度爆炸现象？它产生的原因和典型表现是什么？|针对梯度消失问题，目前常用的解决方法有哪些？请分别说明其基本原理和适用场景。|针对梯度爆炸问题，目前常用的解决方法有哪些？请分别说明其基本原理和适用场景。
SWIN Transformer的窗口划分和移位策略,decomposition,False,EMPTY_RESULT
对比有监督学习和自监督学习,decomposition,True,有监督学习的基本概念、典型方法及其优缺点是什么？|自监督学习的基本概念、典型方法及其优缺点是什么？|从数据需求、标注成本、模型性能、适用场景等方面，对比分析有监督学习和自监督学习的异同有哪些？
什么是知识蒸馏？如何用于模型压缩？,decomposition,True,什么是知识蒸馏？请从概念、基本原理以及典型的教师-学生网络框架进行系统阐述，并给出代表性论文。|知识蒸馏是如何用于模型压缩的？请说明其在减小模型参数量、计算量方面的具体方法、常见技术路线和应用案例。
RLHF的步骤：奖励建模和PPO优化,decomposition,True,在RLHF（Reinforcement Learning from Human Feedback）中，奖励建模（reward modeling）的具体步骤和方法是什么？包括数据收集、人工标注、模型训练和评估等环节。|在RLHF中，基于奖励模型使用PPO（Proximal Policy Optimization）对大语言模型进行优化的具体流程和关键技术细节是什么？包括目标函数、训练步骤和稳定性技巧等。
Batch Norm和Layer Norm的区别与联系,decomposition,True,什么是Batch Normalization（Batch Norm），它的原理、计算方式以及典型应用场景是什么？|什么是Layer Normalization（Layer Norm），它的原理、计算方式以及典型应用场景是什么？|Batch Norm和Layer Norm在归一化维度、对batch size的依赖性、在CNN/RNN/Transformer等模型中的表现和适用性方面有哪些主要区别？|Batch Norm和Layer Norm在稳定训练、加速收敛、减少对初始化和学习率敏感性等方面有哪些共同点和内在联系？
NeRF的体渲染和位置编码,decomposition,False,EMPTY_RESULT
CLIP的对比损失和双编码器结构,decomposition,True,CLIP模型中使用的对比损失（contrastive loss）的具体形式是什么，它是如何在图文匹配任务中工作的？|CLIP模型的双编码器（dual-encoder）结构是怎样的，图像编码器和文本编码器分别如何设计和协同？|CLIP的对比损失与双编码器结构之间是如何配合的，这种组合相比单编码器或其他结构有什么优势？
什么是反向传播,decision,True,"R:False, O:False"
SVM的核函数有哪些,decision,True,"R:False, O:False"
交叉熵损失函数公式,decision,True,"R:False, O:False"
Hinton是谁,decision,True,"R:False, O:False"
深度学习三巨头,decision,False,"R:True, O:False"
attention is all you need 论文作者,decision,True,"R:False, O:False"
pytorch和tensorflow哪个好,decision,False,"R:False, O:False"
如何安装CUDA,decision,False,"R:False, O:False"
huggingface transformers库的常用函数,decision,False,"R:False, O:False"
BERT的代码实现,decision,False,"R:False, O:False"
2024年ACL最佳论文,decision,False,"R:True, O:False"
最新发布的GPT-4细节,decision,True,"R:True, O:True"
2025年AI顶会日程,decision,False,"R:False, O:False"
最近有什么关于多模态的大新闻,decision,True,"R:True, O:True"
今天arXiv上有什么有趣的论文,decision,False,"R:True, O:False"
LLaMA的最新版本,decision,True,"R:True, O:True"
2023年图灵奖得主,decision,False,"R:False, O:False"
本月AI融资事件,decision,False,"R:False, O:False"
昨天OpenAI发布的新功能,decision,False,"R:False, O:False"
今年的NeurIPS举办地点,decision,False,"R:False, O:False"
帮我总结一下,decision,False,"R:True, O:False"
接着讲,decision,True,"R:False, O:False"
还有呢,decision,True,"R:False, O:False"
详细解释一下,decision,False,"R:True, O:False"
用中文回答,decision,True,"R:False, O:False"
给出代码示例,decision,False,"R:False, O:False"
最新进展,decision,True,"R:True, O:True"
还有别的类似模型吗,decision,True,"R:True, O:False"
它和ViT的区别,decision,True,"R:True, O:False"
这个领域的未来趋势,decision,False,"R:False, O:False"
最新的benchmark结果,decision,True,"R:True, O:True"
2026年预测,decision,False,"R:True, O:False"
今天天气,decision,False,"R:False, O:False"
现在几点了,decision,True,"R:False, O:False"
计算 123*456,decision,True,"R:False, O:False"
Python 3.10的新特性,decision,False,"R:False, O:False"
torch.compile如何使用,decision,False,"R:False, O:False"
如何优化PyTorch训练速度,decision,False,"R:False, O:False"
Diffusion Models beat GANs 论文,decision,True,"R:True, O:False"
2025年最新图像生成模型,decision,True,"R:True, O:True"
最近有没有关于AGI的讨论,decision,True,"R:True, O:True"
本周AI热点,decision,False,"R:True, O:False"
2024年诺贝尔物理学奖,decision,False,"R:False, O:False"
谁是美国总统,decision,False,"R:False, O:False"
苹果公司股价,decision,False,"R:True, O:False"
推荐几本深度学习书,decision,False,"R:False, O:False"
怎样写一篇顶会论文,decision,False,"R:False, O:False"
如何复现GPT-3,decision,True,"R:True, O:False"
Llama 3 有多少参数,decision,True,"R:False, O:False"
介绍一下MoE,decision,False,"R:True, O:False"
